time(ms), room temp(Celcius), accX(G), accY(G), accZ(G), angleX(Deg), angleY(Deg), angleZ(Deg), Front Left (2), Back Left (4), Front Right (3), Back Right (5), Toe (1)
50, 23.42, -0.01, -0.03, 0.90, 22.32, 19.11, 6.76, 11, 69, 12, 58, 3
272, 23.28, -0.01, -0.01, 0.92, 7.80, 7.55, 6.67, 17, 35, 34, 34, 6
494, 23.38, -0.02, -0.01, 0.94, 1.83, 3.20, 6.45, 37, 20, 44, 10, 3
719, 23.42, -0.02, -0.03, 0.95, -2.00, 1.77, 6.22, 46, 0, 22, 0, 48
945, 23.38, -0.72, -0.02, 0.48, -24.57, 1.57, -15.04, 0, 1, 3, 0, 0
1169, 23.38, -0.01, -0.18, 1.33, 16.94, 6.21, -10.35, 0, 1, 4, 0, 0
1394, 23.33, -0.32, -1.37, 0.83, 1.07, 8.82, -9.03, 0, 1, 3, 0, 1
1618, 23.42, 0.24, -0.17, 0.71, -19.65, -9.78, -2.80, 3, 40, 7, 20, 1
1844, 23.33, 0.02, -0.02, 0.94, -7.60, -5.60, -2.19, 35, 55, 20, 1, 11
2070, 23.33, 0.02, -0.04, 0.94, -4.28, -2.73, -2.02, 50, 6, 25, 0, 50
2296, 23.33, -0.19, -0.08, 1.01, -7.55, -0.65, 0.08, 19, 0, 9, 0, 69
2522, 23.38, -0.56, 0.58, 0.88, -0.04, 5.35, -18.80, 0, 2, 2, 0, 1
2746, 23.38, 0.55, -0.47, 1.03, 18.31, 7.31, -13.48, 0, 0, 4, 0, 1
2970, 23.38, -1.39, -1.39, 2.00, -22.80, -2.98, -9.32, 0, 46, 4, 46, 0
3196, 23.28, -0.01, -0.00, 0.97, -6.42, -6.48, -9.00, 35, 42, 14, 11, 12
3420, 23.38, 0.01, -0.03, 0.96, -3.30, -2.66, -9.02, 35, 27, 34, 8, 27
3643, 23.33, 0.06, 0.19, 0.98, -1.77, -0.49, -8.89, 35, 0, 4, 0, 58
3867, 23.28, -0.03, 0.70, 0.32, 0.98, 1.09, -27.34, 0, 2, 3, 0, 1
4091, 23.24, 0.23, 0.04, 0.74, 32.32, 10.36, -25.89, 0, 1, 3, 0, 1
4316, 23.38, -0.56, 1.35, 1.75, 7.69, 7.42, -27.28, 0, 53, 3, 39, 0
4541, 23.38, 0.05, 0.08, 0.97, -8.73, -1.98, -27.91, 24, 63, 14, 21, 7
4763, 23.28, -0.00, -0.02, 0.93, -3.90, 0.19, -27.94, 60, 12, 39, 2, 30
4990, 23.33, -0.02, -0.01, 0.92, -3.06, 0.77, -28.25, 60, 0, 46, 0, 58
5213, 23.24, -0.03, 0.33, 1.98, -12.28, 1.77, -33.32, 3, 0, 7, 0, 4
5437, 23.33, 0.51, 0.32, 1.09, 11.52, 10.04, -55.52, 0, 1, 3, 0, 1
5661, 23.28, 0.53, -0.60, 1.48, 18.98, -3.60, -64.79, 0, 1, 3, 0, 1
5886, 23.24, -0.28, -0.01, 1.00, -18.61, -0.85, -71.07, 0, 42, 4, 21, 0
