Gyro is ready, Operation starts in 10 seconds
9, 8, 7, 6, 5, 4, 3, 2, 1, 0, 
time(ms), room temp(Celcius), accX(G), accY(G), accZ(G), angleX(Deg), angleY(Deg), angleZ(Deg), Front Left (2), Back Left (4), Front Right (3), Back Right (5), Toe (1)
50, 24.32, -0.03, -0.04, 0.93, -15.85, -27.58, 0.57, 8, 28, 11, 44, 5
272, 24.27, -0.03, -0.04, 0.93, -7.01, -8.89, 0.55, 6, 37, 10, 48, 6
494, 24.27, -0.02, -0.04, 0.94, -3.83, -2.09, 0.53, 7, 40, 9, 23, 9
719, 24.32, -0.03, -0.03, 0.94, -2.65, 0.32, 0.54, 8, 40, 11, 31, 6
944, 24.27, -0.15, -0.09, 0.94, -0.66, 0.88, 1.28, 1, 5, 2, 6, 3
1168, 24.27, -0.07, 0.53, 0.88, 3.22, 10.50, 18.27, 0, 4, 4, 7, 0
1392, 24.27, 0.15, -0.31, 1.02, 7.65, 5.85, 33.99, 0, 1, 4, 5, 0
1615, 24.27, 0.44, 0.12, 0.86, -7.91, -0.64, 31.94, 0, 32, 5, 37, 0
1841, 24.18, -0.01, 0.03, 0.91, -3.75, -1.00, 30.13, 7, 50, 8, 58, 8
2066, 24.27, -0.04, 0.01, 0.94, -1.68, 1.47, 29.41, 15, 40, 32, 48, 17
2292, 24.27, -0.06, -0.02, 0.94, -1.23, 1.85, 28.96, 32, 11, 25, 10, 69
2518, 24.32, -0.55, 0.56, 1.17, -2.25, 2.20, 30.21, 8, 0, 10, 2, 69
2743, 24.27, 0.10, 0.29, 0.74, 14.89, 2.91, 13.08, 0, 2, 3, 5, 1
2967, 24.27, 0.34, -0.89, 1.02, 11.84, 4.76, 18.54, 0, 1, 4, 4, 1
3191, 24.27, 0.77, -0.36, 1.02, -14.15, -3.24, 18.02, 3, 53, 11, 60, 1
3418, 24.22, -0.04, 0.04, 0.94, -4.39, 0.98, 16.26, 20, 35, 28, 27, 10
3640, 24.18, -0.05, 0.01, 0.95, -2.09, 1.76, 15.73, 66, 5, 48, 3, 63
3865, 24.27, -0.58, 1.23, 1.81, -2.41, 2.02, 15.43, 11, 0, 8, 0, 42
4089, 24.22, -0.02, 0.20, 0.59, 8.25, 5.08, -1.32, 0, 2, 3, 3, 0
4314, 24.13, 0.34, -0.93, 1.60, 17.08, 10.56, 3.34, 0, 1, 4, 2, 1
4538, 24.18, -0.24, 0.13, 1.10, -11.46, -2.05, 4.05, 0, 39, 4, 46, 0
4763, 24.18, -0.02, 0.03, 0.92, -4.68, -3.10, 3.40, 14, 42, 22, 30, 11
4988, 24.13, -0.05, 0.02, 0.91, -1.47, 0.26, 2.61, 48, 7, 32, 2, 46
5214, 24.08, -0.19, 1.31, 2.00, -4.05, 1.89, -0.07, 2, 0, 9, 1, 9
5437, 24.18, 0.02, 0.23, 0.92, 22.66, 6.02, -14.03, 0, 2, 3, 3, 1
5661, 24.18, 0.32, -1.08, 1.07, 9.86, 2.67, -8.13, 0, 1, 3, 2, 2
5885, 24.18, 0.07, 0.25, 0.90, -9.31, -4.69, -6.52, 10, 60, 3, 104, 4
6108, 24.08, -0.08, 0.06, 0.97, -3.84, 0.64, -8.19, 40, 8, 37, 3, 28
6332, 24.13, -0.05, 0.05, 1.00, -0.95, 1.82, -8.76, 55, 1, 44, 0, 93
6557, 24.13, -1.00, -0.39, 1.13, -24.31, -2.85, -23.96, 0, 2, 4, 2, 2
6782, 24.22, 0.27, 0.02, 1.38, 22.92, 2.14, -29.98, 0, 2, 3, 2, 2
7007, 24.04, 0.22, -1.07, 0.88, 0.53, -0.96, -34.22, 0, 5, 4, 6, 3
7231, 24.13, -0.07, 0.17, 1.03, -1.13, -3.69, -33.17, 3, 69, 23, 60, 4
7456, 24.13, -0.03, 0.06, 0.94, -0.06, 0.55, -34.51, 23, 18, 34, 12, 27
7683, 24.13, -0.10, 0.04, 0.98, 0.72, 1.98, -34.70, 35, 1, 37, 0, 89
7908, 24.08, -0.39, -0.10, 0.88, -24.54, -2.60, -55.58, 0, 3, 3, 2, 1
8132, 24.04, 0.24, -0.00, 1.26, 20.06, -0.84, -70.05, 0, 2, 3, 2, 1
8356, 24.08, 0.21, -0.90, 0.88, 0.57, -3.10, -73.77, 0, 4, 3, 5, 1
8582, 23.94, -0.09, -0.02, 0.98, -2.40, -2.90, -74.83, 5, 53, 9, 53, 10
8804, 23.99, -0.04, 0.06, 0.90, 0.13, 0.98, -75.85, 22, 20, 26, 7, 48
9029, 24.04, -0.05, 0.07, 0.94, 1.27, 2.40, -76.36, 37, 2, 48, 0, 55
9254, 24.08, 0.48, 0.51, 2.00, -8.84, 1.02, -84.12, 0, 3, 7, 1, 4
9478, 24.08, 0.53, -0.04, 0.80, 14.29, 2.23, -110.06, 0, 3, 3, 2, 1
9703, 23.99, 0.38, -0.24, 1.04, 16.47, -3.92, -130.87, 0, 2, 4, 1, 2
9928, 23.99, -1.44, 0.13, 1.95, -2.94, -5.38, -133.97, 0, 46, 6, 80, 0
10153, 23.94, -0.02, 0.07, 0.93, 0.89, -2.88, -134.30, 12, 60, 16, 50, 12
10381, 23.99, -0.05, 0.07, 0.94, 2.21, 1.00, -134.97, 21, 31, 69, 10, 28
10607, 23.94, -0.02, 0.05, 0.92, 2.47, 2.15, -135.58, 58, 5, 53, 0, 63
10833, 23.99, 0.39, 0.31, 0.90, 1.04, 1.08, -144.05, 0, 4, 11, 1, 4
11058, 24.08, 0.49, 0.09, 0.95, 13.36, -9.38, -169.60, 0, 5, 5, 2, 1
11280, 23.94, 0.20, 0.05, 0.69, 18.79, -7.86, -178.02, 0, 4, 4, 2, 1
11504, 23.94, -0.11, -0.39, 0.75, -5.49, 4.52, -176.91, 0, 3, 4, 1, 1
11730, 23.94, 0.01, -0.01, 0.90, -9.01, -1.13, -176.04, 9, 60, 2, 42, 6
11953, 23.94, -0.03, 0.08, 0.92, -0.84, 1.48, -176.89, 10, 48, 23, 37, 12
12176, 23.89, -0.04, 0.04, 0.94, 1.18, 1.74, -177.19, 28, 17, 30, 7, 34
12398, 23.94, -0.07, 0.04, 0.99, 1.03, 1.77, -176.75, 32, 0, 23, 0, 85
12623, 23.85, -0.30, 0.90, 0.83, -11.66, -0.33, -186.63, 0, 4, 3, 1, 1
12850, 23.89, -0.01, -0.36, 1.20, 15.20, 11.39, -183.91, 0, 4, 4, 2, 2
13075, 23.85, 0.29, -0.70, 0.69, -2.21, 3.84, -176.64, 0, 2, 4, 1, 2
13300, 23.89, -0.10, -0.12, 0.76, -9.67, -1.41, -175.77, 11, 63, 11, 46, 7
13528, 23.89, -0.04, 0.08, 0.94, -1.29, 1.56, -176.54, 24, 34, 25, 20, 20
13754, 23.89, -0.07, 0.04, 0.99, 1.13, 2.07, -176.82, 40, 1, 46, 0, 80
13979, 23.85, 0.07, -1.08, 0.17, -15.23, -2.61, -181.98, 0, 4, 4, 1, 1
14205, 23.80, -0.04, -0.10, 0.98, 19.01, 8.58, -190.02, 0, 2, 3, 1, 1
14431, 23.89, 0.19, -1.04, 0.70, 0.83, 8.07, -182.72, 0, 2, 4, 1, 2
14655, 23.75, 0.15, 0.22, 1.06, -10.06, -3.62, -180.86, 8, 48, 9, 32, 11
14878, 23.71, -0.04, 0.04, 0.94, -3.02, 0.56, -181.42, 32, 14, 30, 8, 44
15104, 23.85, -0.01, 0.08, 0.92, 0.77, 1.72, -181.54, 44, 3, 48, 0, 73
15327, 23.75, 0.65, 0.55, 1.86, -9.07, -2.66, -185.06, 0, 3, 4, 2, 3
15551, 23.89, 0.31, 0.07, 0.89, 19.13, 4.75, -193.45, 0, 2, 3, 1, 1
15776, 23.80, 0.15, -0.83, 0.94, 6.30, 4.61, -187.66, 0, 3, 4, 1, 2
16000, 23.75, 0.19, 0.05, 0.52, -13.94, -3.96, -186.57, 5, 69, 3, 55, 3
16227, 23.71, -0.03, 0.10, 0.91, -3.11, 0.73, -187.64, 9, 35, 31, 44, 9
16453, 23.71, -0.05, 0.07, 0.94, 1.03, 1.89, -188.18, 37, 4, 48, 9, 34
16679, 23.71, 0.05, 0.15, 1.00, 2.26, 1.61, -188.08, 23, 0, 39, 0, 50
