time(ms), room temp(Celcius), accX(G), accY(G), accZ(G), angleX(Deg), angleY(Deg), angleZ(Deg), Front Left (1), Back Left (2), Front Right (3), Back Right (4)
9657,23.52,-0.04,-0.16,0.93,1.72,-10.5,3.57,4,5,20,0
9878,23.56,-0.03,-0.15,0.93,-5.34,-2.14,3.64,4,7,17,0
10102,23.61,-0.03,-0.15,0.91,-7.62,0.61,3.75,4,8,14,1
10328,23.52,-0.04,-0.14,0.91,-8.37,1.58,3.79,4,8,15,1
10549,23.61,-0.04,-0.15,0.91,-8.71,1.86,3.84,4,7,16,1
10770,23.56,-0.04,-0.15,0.91,-8.81,1.96,3.92,5,6,19,0
10991,23.56,-0.04,-0.15,0.92,-8.8,2.06,3.98,5,6,19,0
11216,23.61,-0.05,-0.15,0.92,-8.82,2.1,4.05,5,6,20,0
11438,23.66,-0.04,-0.15,0.92,-8.83,2.12,4.13,4,6,22,0
11659,23.61,-0.04,-0.15,0.93,-8.78,2.11,4.21,4,6,20,0
11880,23.66,-0.05,-0.14,0.92,-8.69,2.17,4.29,4,6,19,0
12101,23.66,-0.06,-0.14,0.92,-8.72,2.22,4.39,4,5,21,0
12326,23.66,-0.03,-0.15,0.91,-8.75,2.03,4.47,4,5,17,0
12548,23.52,-0.04,-0.15,0.91,-8.69,2.12,4.53,4,5,18,0
12769,23.61,-0.04,-0.15,0.92,-8.75,2.13,4.58,4,5,16,0
12990,23.61,-0.04,-0.15,0.92,-8.76,2.14,4.64,4,5,20,0
13211,23.56,-0.04,-0.15,0.91,-8.77,2.11,4.71,4,5,17,0
13436,23.66,-0.04,-0.15,0.92,-8.72,2.18,4.79,4,6,17,0
13658,23.56,-0.04,-0.15,0.91,-8.69,2.14,4.85,4,6,17,0
13879,23.66,-0.04,-0.15,0.91,-8.75,2.16,4.92,4,6,18,0
14100,23.56,-0.04,-0.15,0.91,-8.74,2.14,4.98,4,5,16,0
14321,23.61,-0.05,-0.15,0.92,-8.79,2.19,5.03,4,5,17,0
14545,23.61,-0.04,-0.15,0.9,-8.81,2.18,5.09,4,5,21,0
14767,23.66,-0.05,-0.16,0.91,-8.96,2.31,5.11,4,7,25,1
14988,23.66,-0.05,-0.16,0.93,-9.6,2.22,5.07,5,10,25,3
15209,23.66,-0.03,-0.16,0.92,-9.8,1.88,5.37,3,9,2,6
15430,23.61,-0.17,-0.21,0.74,-9.73,2.32,5.36,0,10,2,5
15654,23.56,-0.63,-0.07,0.72,-17.32,7.76,14.92,0,3,1,0
15876,23.66,0.99,-0.33,1.13,-14.42,-3.11,30.86,0,2,2,0
16097,23.71,0.44,-0.31,0.84,-18.64,-4.84,24.37,0,2,2,0
16321,23.61,-0.19,0.04,0.9,-5.43,0.66,21.33,2,5,8,0
16541,23.61,-0.03,-0.19,0.91,-10.92,1.86,21.39,0,5,6,4
16766,23.52,-0.05,-0.23,0.85,-13.46,2.88,21.35,1,39,6,24
16992,23.56,-0.03,-0.24,0.91,-12.61,2.18,21.81,5,42,8,23
17214,23.61,0,-0.19,0.88,-12.75,2.1,22.19,4,35,10,22
17436,23.61,-0.02,-0.23,0.94,-12.61,1.87,22.08,4,55,10,55
17662,23.56,-0.02,-0.23,0.92,-12.36,1.12,22.45,10,63,6,58
17885,23.56,-0.05,-0.2,0.91,-12.26,1.54,22.5,11,69,7,66
18107,23.61,-0.04,-0.2,0.89,-12.63,1.98,22.37,6,50,8,32
18329,23.56,-0.06,-0.23,0.92,-13.2,2.55,21.88,11,34,30,5
18555,23.66,-0.04,-0.23,0.9,-13.36,1.85,22.18,23,27,25,9
18778,23.56,-0.03,-0.23,0.9,-13.48,1.69,22.25,27,26,28,7
19000,23.56,-0.04,-0.23,0.89,-13.87,1.8,22.01,28,14,34,2
19222,23.56,-0.04,-0.25,0.9,-14.14,1.78,21.94,17,24,28,6
19445,23.61,-0.03,-0.24,0.91,-14.17,1.57,21.91,11,42,9,8
19672,23.61,-0.04,-0.24,0.91,-14.29,1.13,21.77,10,32,11,12
19894,23.61,-0.01,-0.16,0.96,-14.37,1.75,22.38,12,0,5,0
20119,23.56,-0.53,-0.26,1.04,-28.69,14.84,33.78,1,3,2,0
20343,23.42,0.05,-0.31,0.39,-17.73,-0.15,66.79,0,3,2,0
20568,23.61,0.31,-0.61,0.56,-13.94,6.41,92.34,0,2,2,0
20792,23.52,-0.24,-0.53,-0.19,-25.4,3.03,100.73,0,3,2,0
21013,23.42,0.83,-0.22,0.35,-15.31,-18.13,102.25,2,60,8,69
21239,23.47,-0.09,-0.16,0.91,-12.32,-0.14,100.56,7,60,11,58
21463,23.52,-0.07,-0.22,0.89,-13.6,1.83,100.03,14,23,30,7
21685,23.61,-0.16,-0.26,1.36,-14.41,5.12,95.65,2,1,6,0
21909,23.38,1.11,-0.46,1.21,2.46,8.17,82.28,0,2,3,0
22129,23.47,0,-0.38,1.17,9.66,2.27,67.79,0,2,2,0
22352,23.47,0.21,-0.04,-0.3,-10.29,-10.96,51.19,0,53,3,60
22575,23.52,-0.35,-0.1,0.97,-11.15,-0.65,47.05,8,53,8,40
22797,23.42,-0.07,-0.25,0.91,-15.47,0.25,47.03,26,0,44,0
23022,23.47,-0.09,-0.18,0.49,-13.9,3.88,48.09,7,0,20,0
23246,23.47,-0.48,0.04,1.38,-5.07,32.57,18.29,0,1,2,0
23468,23.42,0.01,-0.22,1.04,9.07,5.41,11.2,0,1,3,0
23688,23.42,0.14,-1.23,0.04,-21.96,-7.27,5.54,0,8,3,4
23912,23.38,-0.3,-0.17,1.15,-19.47,-4.43,-0.67,7,46,22,32
24134,23.42,-0.13,-0.28,0.99,-16.44,1.33,-0.9,1,1,48,4
24359,23.42,-0.1,-0.27,0.91,-16.35,2.68,-1.98,13,0,73,0
24581,23.38,0.08,-0.85,1.23,-25.59,6.55,-12.36,0,1,4,0
24802,23.38,1.25,-0.56,0.97,2.66,2.61,-44.04,0,1,3,0
25022,23.42,-0.03,-0.46,0.49,13.1,9.47,-58.2,0,1,3,0
25243,23.42,0.06,-0.35,1.81,-14.32,2.17,-62.03,0,46,3,37
25468,23.38,-0.11,-0.31,1,-22.87,3.36,-62.74,10,39,21,17
25692,23.38,-0.07,-0.23,0.87,-17.09,3.31,-63.05,23,10,39,0
25914,23.47,-0.05,-0.24,0.88,-16.72,2.6,-62.97,20,0,53,0
26136,23.38,-0.48,0.07,0.35,-19.35,11.89,-79.51,0,1,2,0
26360,23.33,-0.43,-0.15,1.15,-1.95,9.47,-77.83,0,1,2,0
26582,23.33,-0.16,-0.3,0.79,7.14,12.52,-68.65,0,1,3,0
26806,23.28,0.54,1.18,0.12,-9.15,-9.26,-65.42,0,42,2,39
27027,23.33,-0.39,-0.12,1.1,-17.89,-5.08,-66.56,6,60,10,53
27250,23.42,-0.12,-0.18,0.9,-14.88,0.43,-65.96,6,20,37,11
27475,23.38,-0.06,-0.23,0.85,-14.86,1.93,-66.77,34,0,55,0
27698,23.28,0.27,-0.55,0.99,-26.79,4.55,-67.12,4,0,10,0
27919,23.38,-0.21,-0.22,0.97,-5.06,27.28,-81.12,0,2,2,0
28140,23.33,-0.32,-0.3,1.23,6.27,17.53,-74.04,0,1,2,0
28364,23.38,-0.16,-0.97,0.25,-19.36,7.4,-64.19,0,3,2,0
28590,23.38,0.67,0,0.42,-22.18,-15.5,-63.78,3,63,11,53
28812,23.33,-0.05,-0.26,0.91,-18.48,1.85,-65.88,11,6,40,6
29034,23.28,-0.08,-0.25,0.9,-15.68,3.25,-66.2,30,1,63,0
29259,23.28,-0.11,-0.25,0.88,-15.79,3.73,-66.08,23,0,55,0
29485,23.38,-0.6,-0.06,0.92,-19.93,6.91,-75.09,0,1,2,0
29710,23.24,-0.48,-0.11,0.77,-3.43,11.14,-67,0,2,2,0
29931,23.38,-0.16,-0.04,0.98,6.82,12.77,-55.25,0,1,2,0
30155,23.28,-0.09,-0.3,0.43,2.1,12.75,-43.3,0,1,3,0
30380,23.33,-0.31,0.06,1.58,-18.31,4.35,-41.97,1,66,3,63
30602,23.24,-0.08,-0.09,0.95,-12.93,3.06,-42.6,7,55,0,40
30824,23.38,-0.13,-0.23,0.96,-13.9,5.08,-42.56,17,3,32,6
31049,23.19,-0.09,-0.28,0.91,-13.97,4.68,-41.73,42,0,31,0
31275,23.19,-0.12,-0.25,0.93,-13.89,4.48,-41.46,39,0,40,0
31497,23.24,-0.09,-0.21,0.88,-13.09,4.47,-42.33,44,0,50,0
31719,23.38,-0.48,-0.04,0.84,-17.03,12.92,-54.5,1,2,3,0
31944,23.42,-0.2,-0.09,1.13,5.8,10.5,-60.4,1,1,3,0
32168,23.24,-0.18,-0.15,1,16.81,16.28,-54.81,1,1,2,0
32393,23.24,-0.07,1.12,1.1,-4.95,0.61,-55.68,1,27,2,22
32615,23.19,0.17,-0.19,0.76,-25.9,-4.78,-56.21,5,63,11,50
32837,23.33,-0.11,-0.17,0.89,-15.52,4.56,-57.24,0,53,16,37
33060,23.38,-0.09,-0.19,0.86,-13.24,4.7,-57.46,18,22,34,8
33283,23.24,-0.05,-0.27,0.83,-15.8,4.47,-58.67,11,0,14,0
33508,23.24,-0.6,0.56,0.34,-14.78,22.95,-82.57,1,2,2,0
33729,23.28,0.15,-0.09,0.97,1.4,5.25,-91,0,1,2,0
33949,23.33,-0.01,-0.3,0.92,12.83,2.93,-98.92,1,1,2,0
34173,23.33,-0.3,0.73,1.34,-3.33,1.04,-116.41,1,15,2,7
34395,23.24,-0.02,-0.08,0.8,-15.01,-3.01,-116.17,4,60,11,63
34618,23.28,-0.08,-0.19,0.88,-14.77,3.48,-116.97,2,32,30,11
34840,23.28,-0.08,-0.24,0.9,-14.73,3.75,-117.33,32,1,50,0
35066,23.19,-0.05,-0.25,0.83,-16.04,3.85,-116.91,11,0,22,0
35289,23.28,-1.06,0.15,0.12,-21.83,23.17,-148.46,1,1,2,0
35510,23.33,-0.15,-0.13,1.13,0.88,11.56,-144.09,0,1,2,0
35731,23.28,0.18,-0.2,0.68,8.18,2.63,-138.7,1,1,2,0
35955,23.19,-0.59,1.21,0.45,0.47,6.4,-154.61,1,23,2,22
36180,23.28,0.27,-0.07,0.7,-8.79,0.97,-156.2,4,60,11,63
36403,23.19,-0.22,-0.12,0.89,-8.56,8.04,-158.06,8,60,14,58
36625,23.24,-0.13,-0.18,0.88,-10.36,7.19,-158.1,3,40,30,19
36848,23.24,-0.12,-0.23,0.94,-12.64,5.69,-158.63,31,1,58,0
37074,23.28,0.02,0.5,0.56,-13.53,5.58,-158.76,9,0,21,0
37300,23.28,-0.85,0.05,0.15,-15.86,27.06,-187.3,0,1,2,0
37525,23.19,-0.45,-0.1,1.02,-2.53,11.88,-178.38,0,2,2,0
37746,23.24,-0.01,-0.16,0.99,8.19,10.37,-170.33,0,1,3,0
37970,23.19,-0.41,-0.23,0.71,-3.09,7.14,-179.83,1,1,2,0
38196,23.19,-2,1.22,2,-6.46,8.17,-184.26,1,50,5,46
38417,23.09,0,-0.15,0.79,-10.74,0.56,-181.77,7,66,12,63
38640,23.19,-0.13,-0.18,0.89,-10.74,6.05,-182.26,0,32,42,23
38867,23.19,-0.13,-0.23,0.89,-12.1,6.3,-182.91,25,9,58,0
39090,23.19,-0.12,-0.27,0.9,-14.22,5.71,-183.32,32,0,66,0
39313,23.24,-0.13,-0.24,0.87,-14.89,5.64,-182.88,28,0,77,0
39535,23.19,-0.02,-0.35,0.94,-22.8,6.97,-184.81,1,0,8,0
39759,23.14,-0.2,0.1,0.95,3.63,20.93,-199.32,0,2,2,0
39981,23.14,-0.15,-0.1,0.81,11.55,14.98,-189.08,0,1,3,0
40206,23.09,-0.25,-0.13,1.05,-20.51,8.92,-184.86,0,10,2,3
40431,23.19,-0.02,0.01,0.85,-11.58,-10.03,-184.79,2,69,11,77
40657,23.19,-0.13,-0.1,0.9,-8.76,3.26,-185.82,5,69,11,69
40881,23.24,-0.13,-0.15,0.9,-8.53,6.05,-185.93,8,66,12,60
41104,23.24,-0.17,-0.16,0.9,-9.26,7.52,-186.45,10,46,18,23
41326,23.19,-0.13,-0.23,0.86,-13.34,6.5,-187.29,7,0,11,0
41551,23.09,-0.75,0.03,1.01,-13.74,11.38,-195.17,0,2,2,0
41777,23.24,-0.24,-0.15,0.8,-7.77,11.99,-184.15,0,2,2,0
42002,23.19,-0.39,-0.05,0.9,-3.65,14.41,-179.85,0,1,2,0
42226,23.19,0.02,-0.26,0.44,-10.15,1.84,-179.73,0,1,2,0
42451,23.19,0.22,-0.16,0.56,-14.01,-1.07,-187.26,3,50,11,44
42678,23.09,-0.17,-0.13,0.89,-9.04,8.99,-188.4,9,44,39,40
42901,23.19,-0.18,-0.14,0.87,-8.49,9.35,-188.51,10,40,44,35
43128,23.14,-0.16,-0.18,0.9,-9.99,8.46,-188.76,3,13,58,7
43351,23.24,-0.11,-0.21,0.89,-12.62,6.33,-189.19,25,0,77,0
43573,23.14,-0.12,-0.23,0.91,-14.1,6.03,-190.51,24,0,73,0
43795,23.19,-0.12,-0.49,1.03,-22.28,7.88,-208.69,0,1,2,0
44020,23.24,0.42,-0.43,0.59,-10.58,5.24,-249.8,0,1,3,0
44244,23.28,-0.04,0.1,0.67,-7.66,12.13,-276.9,0,2,2,0
44467,23.33,-0.14,-0.21,0.91,-9.27,8.56,-279.54,11,42,27,25
44689,23.24,-0.12,-0.2,0.88,-10.21,7.27,-279.36,8,53,20,39
44912,23.19,-0.13,-0.18,0.9,-10.33,6.85,-279.43,6,60,10,35
45139,23.24,0.23,-1.33,0.92,-13.88,3.04,-281.74,1,0,3,0
45364,23.09,-0.67,-0.3,0.98,-21.46,22.22,-331.95,1,1,1,0
45586,23.19,-0.29,-0.16,0.84,-19.72,11.78,-329.36,0,2,1,0
45811,23.28,-0.09,-0.47,0.89,-19.58,-2.59,-297.35,0,1,1,0
46035,23.19,0.06,-0.46,1,-26.31,-8.31,-256.75,0,1,2,0
46261,23.24,-0.04,-0.34,0.98,-24.36,-0.94,-245.65,0,2,2,0
46483,23.19,-0.11,-0.13,0.97,-8.94,3.32,-251.11,0,1,2,0
46704,23.19,0.1,-0.19,0.7,-2.24,0.74,-246.66,0,0,2,0
46928,23.19,-0.31,0.07,0.4,-9.26,9.12,-253.77,0,11,2,4
47154,23.24,-0.18,-0.07,0.81,-17.82,3.57,-256.57,6,53,7,44
